ts,open,high,low,close,volume
1770477000000,2035.4,2041.5,2030.3,2038.69,14641.921
1770477300000,2038.73,2041.94,2032.5,2035.32,14062.393
1770477600000,2035.33,2053.92,2035.33,2046.74,45627.91
1770477900000,2046.74,2047.09,2042.07,2045.87,11731.085
1770478200000,2045.87,2063.67,2043.04,2054.86,41439.807
1770478500000,2054.87,2058.0,2050.45,2051.83,11749.433
1770478800000,2051.82,2052.46,2044.34,2046.44,14340.57
1770479100000,2046.44,2051.95,2046.36,2047.8,8912.219
1770479400000,2047.8,2050.34,2040.5,2049.01,19581.348
1770479700000,2049.0,2053.66,2046.85,2051.49,9558.836
1770480000000,2051.49,2054.97,2048.8,2053.62,12396.062
1770480300000,2053.63,2130.0,2002.94,2067.36,607551.349
1770480600000,2067.33,2092.12,2022.02,2057.02,733738.715
1770480900000,2057.0,2075.0,2035.96,2047.08,664113.251
1770481200000,2047.08,2059.62,2046.09,2055.74,30789.367
1770481500000,2055.71,2056.97,2049.52,2052.3,16377.296
1770481800000,2052.31,2058.39,2051.32,2053.74,17875.83
1770482100000,2053.74,2058.0,2046.0,2055.49,19584.435
1770482400000,2055.49,2057.0,2052.0,2055.74,9149.332
1770482700000,2055.75,2056.41,2048.0,2053.45,14233.562
1770483000000,2053.45,2055.0,2049.08,2052.59,10179.264
1770483300000,2052.59,2053.5,2046.09,2049.01,11051.746
1770483600000,2049.0,2052.0,2040.0,2043.96,34766.3
1770483900000,2043.96,2044.43,2031.0,2040.85,26264.35
1770484200000,2040.85,2042.58,2035.61,2040.04,11802.823
1770484500000,2040.04,2054.56,2035.89,2049.82,25733.26
1770484800000,2049.82,2053.0,2047.24,2050.8,13178.073
1770485100000,2050.81,2056.99,2048.8,2054.9,10574.667
1770485400000,2054.9,2058.52,2050.16,2054.39,8094.45
1770485700000,2054.39,2071.77,2054.31,2071.59,32376.478
1770486000000,2071.59,2072.5,2064.8,2067.17,14988.019
1770486300000,2067.17,2071.59,2060.68,2062.12,13029.618
1770486600000,2062.11,2063.6,2056.1,2058.84,11592.112
1770486900000,2058.85,2061.72,2055.24,2060.06,7127.351
1770487200000,2060.06,2066.47,2057.64,2063.97,7079.297
1770487500000,2063.96,2071.08,2063.05,2063.69,13905.975
1770487800000,2063.69,2066.7,2063.69,2064.85,3728.43
1770488100000,2064.86,2081.7,2064.81,2076.48,26054.977
1770488400000,2076.48,2095.81,2074.86,2082.96,62020.362
1770488700000,2082.96,2090.88,2080.0,2089.96,20016.29
1770489000000,2089.95,2097.09,2083.93,2094.67,25854.767
1770489300000,2094.67,2106.43,2093.26,2096.85,45207.934
1770489600000,2096.86,2103.0,2093.42,2099.64,10508.237
1770489900000,2099.63,2104.99,2095.18,2104.46,11336.432
1770490200000,2104.45,2109.28,2100.34,2101.75,17880.201
1770490500000,2101.72,2101.72,2093.49,2096.15,13188.64
1770490800000,2096.14,2097.54,2090.38,2094.0,12594.602
1770491100000,2093.99,2100.82,2090.34,2091.88,13336.428
1770491400000,2091.89,2092.98,2085.73,2087.67,19566.562
1770491700000,2087.6,2093.49,2087.15,2091.75,9528.746
1770492000000,2091.75,2096.74,2088.85,2094.8,6493.414
1770492300000,2094.8,2095.0,2091.25,2092.15,4830.462
1770492600000,2092.15,2092.15,2082.54,2085.31,9418.684
1770492900000,2085.31,2094.51,2085.3,2091.14,6817.498
1770493200000,2091.15,2094.54,2089.58,2093.92,4528.494
1770493500000,2093.92,2096.35,2091.14,2093.16,5975.113
1770493800000,2093.16,2094.9,2090.96,2093.08,3089.623
1770494100000,2093.07,2093.07,2087.0,2090.26,4380.344
1770494400000,2090.25,2097.73,2089.01,2095.84,6408.89
1770494700000,2095.84,2096.19,2085.0,2085.56,7853.014
1770495000000,2085.55,2089.64,2083.4,2086.61,4653.24
1770495300000,2086.61,2090.0,2085.38,2087.86,2228.956
1770495600000,2087.86,2092.76,2087.2,2092.32,3933.057
1770495900000,2092.33,2098.75,2092.33,2095.0,7192.643
1770496200000,2095.01,2097.0,2091.54,2095.99,8178.859
1770496500000,2095.99,2098.95,2095.57,2098.73,4993.472
1770496800000,2098.73,2101.38,2093.53,2093.57,10562.996
1770497100000,2093.55,2100.39,2093.55,2097.67,3924.651
1770497400000,2097.66,2117.95,2097.66,2105.44,45182.609
1770497700000,2105.45,2105.96,2099.75,2104.1,10881.112
1770498000000,2104.11,2108.7,2097.21,2101.28,15440.477
1770498300000,2101.29,2103.72,2097.66,2100.47,3415.204
1770498600000,2100.48,2105.63,2099.06,2105.23,5677.533
1770498900000,2105.23,2105.23,2098.52,2100.08,4531.995
1770499200000,2100.08,2103.39,2098.97,2102.15,2967.309
1770499500000,2102.15,2109.0,2101.44,2105.17,10511.53
1770499800000,2105.17,2109.92,2104.11,2106.76,5123.069
1770500100000,2106.76,2108.17,2101.54,2103.5,9317.317
1770500400000,2103.5,2106.45,2102.22,2102.22,5626.136
1770500700000,2102.22,2102.55,2097.72,2099.98,7764.908
1770501000000,2099.99,2100.45,2096.11,2098.87,4431.483
1770501300000,2098.87,2101.67,2098.01,2099.76,4680.391
1770501600000,2099.75,2099.75,2097.0,2098.78,2610.976
1770501900000,2098.78,2106.98,2098.34,2103.72,5326.111
1770502200000,2103.71,2103.86,2094.48,2099.51,9002.89
1770502500000,2099.51,2099.94,2092.6,2094.8,5026.223
1770502800000,2094.8,2097.78,2092.59,2093.46,2941.966
1770503100000,2093.46,2098.34,2092.0,2098.2,4335.395
1770503400000,2098.2,2098.34,2092.8,2093.11,2523.921
1770503700000,2093.1,2095.11,2086.39,2093.04,5359.02
1770504000000,2093.04,2095.14,2088.75,2089.89,2202.194
1770504300000,2089.9,2090.97,2086.21,2088.38,4728.705
1770504600000,2088.38,2092.66,2088.37,2088.55,1603.389
1770504900000,2088.56,2093.15,2087.0,2088.0,2131.591
1770505200000,2087.99,2090.64,2083.51,2085.29,6196.982
1770505500000,2085.29,2088.22,2075.5,2078.49,23198.142
1770505800000,2078.49,2084.7,2077.79,2082.83,7124.498
1770506100000,2082.84,2084.9,2077.0,2077.01,4657.991
1770506400000,2077.0,2078.14,2072.0,2077.63,12424.006
1770506700000,2077.62,2081.98,2076.7,2080.26,7134.327
1770507000000,2080.25,2085.46,2080.21,2084.71,4419.241
1770507300000,2084.71,2088.5,2084.2,2085.9,5487.923
1770507600000,2085.91,2087.79,2085.5,2087.2,3337.494
1770507900000,2087.2,2093.49,2086.5,2091.57,8807.907
1770508200000,2091.57,2094.76,2089.43,2091.59,5934.649
1770508500000,2091.6,2091.6,2085.5,2086.09,6463.892
1770508800000,2086.1,2090.81,2084.24,2090.81,5931.74
1770509100000,2090.81,2093.67,2088.0,2088.32,4755.99
1770509400000,2088.33,2090.89,2086.12,2089.33,3555.402
1770509700000,2089.33,2090.52,2079.1,2079.67,12889.6
1770510000000,2079.66,2082.08,2077.75,2078.67,6988.656
1770510300000,2078.66,2083.42,2077.77,2079.39,6176.623
1770510600000,2079.39,2082.88,2078.85,2080.69,4008.975
1770510900000,2080.69,2086.91,2080.02,2083.44,4796.703
1770511200000,2083.45,2083.61,2075.82,2077.25,6108.931
1770511500000,2077.25,2080.95,2075.49,2079.6,4328.561
1770511800000,2079.59,2083.06,2077.69,2078.59,4265.948
1770512100000,2078.59,2083.46,2078.29,2083.24,3444.242
1770512400000,2083.24,2085.9,2082.01,2085.38,4929.856
1770512700000,2085.38,2089.25,2084.67,2088.58,8383.492
1770513000000,2088.57,2091.9,2087.1,2090.27,6103.215
1770513300000,2090.27,2090.36,2085.35,2087.04,3596.479
1770513600000,2087.03,2088.82,2082.7,2083.48,4875.416
1770513900000,2083.46,2084.42,2081.5,2083.02,3796.545
1770514200000,2083.02,2087.5,2080.88,2086.78,5912.089
1770514500000,2086.78,2092.49,2086.78,2090.9,7416.805
1770514800000,2090.89,2094.0,2086.91,2089.18,7844.242
1770515100000,2089.18,2093.5,2087.75,2089.19,4813.45
1770515400000,2089.2,2097.24,2089.07,2095.52,15411.531
1770515700000,2095.52,2095.62,2092.18,2095.07,7326.099
1770516000000,2095.08,2095.31,2090.11,2092.97,6197.34
1770516300000,2092.96,2096.45,2092.46,2095.75,4777.98
1770516600000,2095.74,2101.95,2094.95,2098.01,12570.171
1770516900000,2098.02,2100.92,2096.42,2099.07,10303.072
1770517200000,2099.07,2106.72,2099.06,2102.0,16318.796
1770517500000,2102.0,2102.12,2093.08,2094.91,12118.451
1770517800000,2094.92,2098.35,2090.65,2091.23,10210.854
1770518100000,2091.22,2091.23,2085.0,2085.8,13065.969
1770518400000,2085.8,2089.06,2085.09,2088.67,5054.693
1770518700000,2088.67,2090.0,2085.4,2087.65,5436.732
1770519000000,2087.66,2089.88,2081.3,2081.68,7908.359
1770519300000,2081.68,2088.46,2081.68,2088.04,6748.556
1770519600000,2088.05,2089.9,2081.62,2082.7,10662.45
1770519900000,2082.7,2087.36,2081.36,2081.94,13400.436
1770520200000,2081.94,2085.65,2080.99,2084.72,5144.897
1770520500000,2084.73,2085.55,2081.66,2082.36,3825.229
1770520800000,2082.36,2088.53,2082.35,2087.1,6668.26
1770521100000,2087.1,2090.67,2086.8,2088.5,8172.719
1770521400000,2088.5,2092.73,2085.27,2091.82,10187.272
1770521700000,2091.83,2092.22,2088.09,2088.87,3318.645
1770522000000,2088.87,2088.87,2082.8,2084.54,5406.388
1770522300000,2084.53,2085.79,2082.18,2082.58,3753.303
1770522600000,2082.57,2084.47,2080.85,2080.86,8754.583
1770522900000,2080.85,2082.0,2075.54,2077.92,17700.71
1770523200000,2077.92,2080.0,2077.15,2079.84,5887.063
1770523500000,2079.84,2081.99,2079.44,2081.4,7584.951
1770523800000,2081.4,2081.89,2071.27,2073.0,14220.74
1770524100000,2072.99,2075.4,2065.0,2074.75,33248.211
1770524400000,2074.76,2082.29,2074.05,2080.4,20380.179
1770524700000,2080.41,2082.12,2079.31,2079.81,8853.343
1770525000000,2079.81,2081.94,2076.3,2077.67,8282.491
1770525300000,2077.66,2080.33,2074.21,2078.59,6440.898
1770525600000,2078.6,2079.52,2076.33,2077.96,4935.143
1770525900000,2077.96,2078.0,2075.58,2077.4,4663.446
1770526200000,2077.4,2079.68,2077.12,2078.7,3677.514
1770526500000,2078.7,2089.0,2078.7,2086.61,20619.26
1770526800000,2086.61,2086.98,2079.09,2081.43,13001.496
1770527100000,2081.42,2084.61,2081.0,2083.71,4241.544
1770527400000,2083.7,2087.01,2083.2,2086.2,6383.43
1770527700000,2086.21,2087.91,2083.7,2085.05,7064.551
1770528000000,2085.05,2086.3,2082.69,2085.69,4092.321
1770528300000,2085.68,2085.68,2082.84,2084.06,4164.649
1770528600000,2084.04,2084.05,2078.25,2078.5,9616.755
1770528900000,2078.5,2081.88,2077.25,2080.94,3066.41
1770529200000,2080.94,2084.51,2080.0,2082.95,3160.725
1770529500000,2082.95,2083.89,2081.49,2083.41,2415.644
1770529800000,2083.42,2084.0,2081.1,2083.1,3270.044
1770530100000,2083.08,2085.42,2082.86,2083.74,2990.988
1770530400000,2083.74,2084.34,2079.0,2079.34,6053.243
1770530700000,2079.35,2081.73,2075.87,2079.56,8795.635
1770531000000,2079.56,2086.1,2079.0,2085.87,6500.296
1770531300000,2085.88,2088.0,2082.67,2087.7,10016.669
1770531600000,2087.7,2087.7,2085.0,2086.19,3565.683
1770531900000,2086.2,2087.46,2084.53,2085.99,4976.246
1770532200000,2085.99,2085.99,2081.7,2081.84,5156.949
1770532500000,2081.84,2083.92,2081.84,2083.64,2402.369
1770532800000,2083.64,2084.0,2078.99,2080.69,5764.141
1770533100000,2080.69,2083.26,2077.06,2078.2,7891.528
1770533400000,2078.21,2079.4,2076.0,2078.71,6849.155
1770533700000,2078.7,2080.62,2076.84,2078.48,3841.08
1770534000000,2078.48,2081.7,2076.93,2078.18,4159.008
1770534300000,2078.18,2081.01,2069.15,2070.54,23992.08
1770534600000,2070.54,2077.02,2067.5,2075.11,23286.031
1770534900000,2075.11,2077.88,2073.82,2074.38,5818.554
1770535200000,2074.37,2074.37,2068.39,2073.65,14459.377
1770535500000,2073.66,2074.71,2071.78,2073.67,6503.679
1770535800000,2073.66,2080.48,2071.57,2079.37,10698.368
1770536100000,2079.37,2080.6,2077.19,2078.52,5785.726
1770536400000,2078.52,2078.6,2076.11,2077.63,3211.881
1770536700000,2077.64,2079.99,2076.7,2078.85,4445.023
1770537000000,2078.85,2081.5,2078.6,2080.71,4450.854
1770537300000,2080.71,2084.29,2080.05,2083.8,5831.669
1770537600000,2083.79,2088.28,2079.45,2086.0,11631.215
1770537900000,2086.01,2086.8,2081.92,2082.0,8129.056
1770538200000,2082.0,2082.0,2077.78,2080.04,6919.743
1770538500000,2080.05,2080.77,2077.02,2078.53,4875.447
1770538800000,2078.52,2097.82,2078.52,2097.06,38726.594
1770539100000,2097.06,2106.92,2093.0,2101.33,48450.899
1770539400000,2101.33,2125.25,2097.31,2118.6,71645.346
1770539700000,2118.57,2120.74,2111.57,2112.34,29482.848
1770540000000,2112.34,2113.63,2106.73,2107.87,15214.593
1770540300000,2107.87,2115.67,2106.78,2114.1,17462.81
1770540600000,2114.11,2114.82,2108.05,2112.4,13479.336
1770540900000,2112.39,2117.28,2110.33,2115.04,11075.266
1770541200000,2115.04,2117.72,2110.01,2111.62,18395.923
1770541500000,2111.62,2122.0,2111.0,2115.2,32397.596
1770541800000,2115.2,2115.21,2102.48,2107.41,60767.95
1770542100000,2107.41,2109.99,2105.0,2106.99,11506.003
1770542400000,2107.0,2109.34,2104.99,2108.3,11077.004
1770542700000,2108.3,2110.62,2105.81,2106.08,8893.795
1770543000000,2106.09,2113.51,2102.32,2103.44,20276.775
1770543300000,2103.45,2103.85,2093.62,2103.11,31104.091
1770543600000,2103.11,2105.77,2096.9,2097.07,12960.347
1770543900000,2097.07,2101.91,2097.06,2098.71,9307.764
1770544200000,2098.7,2100.91,2096.0,2100.45,8682.356
1770544500000,2100.45,2103.23,2099.3,2099.31,8606.15
1770544800000,2099.3,2108.86,2099.21,2104.73,13619.351
1770545100000,2104.74,2113.56,2103.88,2107.45,17425.03
1770545400000,2107.45,2108.88,2104.0,2105.85,6155.343
1770545700000,2105.85,2108.93,2103.45,2103.45,5943.91
1770546000000,2103.46,2106.63,2082.17,2088.34,65102.249
1770546300000,2088.34,2093.52,2083.69,2089.85,19811.539
1770546600000,2089.86,2092.21,2087.62,2089.78,11036.95
1770546900000,2089.77,2096.92,2089.76,2094.4,12005.643
1770547200000,2094.39,2094.84,2092.83,2094.22,5604.926
1770547500000,2094.21,2098.91,2093.71,2097.4,7090.725
1770547800000,2097.4,2098.98,2095.15,2095.71,5320.434
1770548100000,2095.71,2096.26,2093.59,2094.88,3521.297
1770548400000,2094.88,2104.5,2093.0,2102.32,13606.931
1770548700000,2102.31,2107.0,2101.81,2103.07,10702.316
1770549000000,2103.08,2109.99,2101.08,2109.8,11801.214
1770549300000,2109.8,2119.59,2107.98,2109.92,40604.104
1770549600000,2109.92,2111.06,2106.38,2106.99,13055.085
1770549900000,2106.98,2113.6,2105.51,2112.94,8660.181
1770550200000,2112.95,2136.89,2112.2,2126.49,69047.311
1770550500000,2126.5,2129.94,2124.23,2126.19,28828.578
1770550800000,2126.19,2128.74,2119.92,2122.54,24484.99
1770551100000,2122.54,2127.0,2120.13,2126.44,13987.603
1770551400000,2126.45,2134.49,2125.0,2131.69,29334.515
1770551700000,2131.68,2132.87,2126.8,2130.79,10380.044
1770552000000,2130.8,2132.75,2125.51,2129.92,13180.86
1770552300000,2129.87,2129.95,2124.76,2125.99,7019.124
1770552600000,2125.98,2129.52,2124.45,2125.77,8671.004
1770552900000,2125.77,2131.49,2125.0,2128.25,8142.97
1770553200000,2128.26,2130.31,2126.3,2127.27,6211.416
1770553500000,2127.26,2140.0,2127.26,2137.29,33716.92
1770553800000,2137.29,2138.3,2132.53,2132.54,17616.425
1770554100000,2132.54,2144.89,2131.22,2137.99,41978.104
1770554400000,2137.99,2138.0,2126.71,2130.07,21509.827
1770554700000,2130.07,2137.06,2126.73,2134.8,18008.83
1770555000000,2134.8,2135.49,2126.0,2126.75,16642.037
1770555300000,2126.76,2133.26,2124.18,2130.08,21600.836
1770555600000,2130.07,2140.2,2125.47,2128.0,50148.63
1770555900000,2128.01,2128.01,2118.0,2123.31,26917.014
1770556200000,2123.31,2126.75,2122.68,2124.31,7166.169
1770556500000,2124.31,2133.05,2122.9,2132.85,9324.814
1770556800000,2132.84,2135.65,2129.41,2134.75,11722.817
1770557100000,2134.76,2136.25,2129.7,2132.0,12111.74
1770557400000,2131.95,2133.48,2127.15,2128.0,10034.959
1770557700000,2128.01,2129.8,2119.54,2123.22,18077.639
1770558000000,2123.22,2127.89,2116.81,2119.14,20034.669
1770558300000,2119.15,2123.7,2119.14,2121.86,8898.368
1770558600000,2121.85,2124.68,2121.27,2122.08,6046.972
1770558900000,2122.08,2125.7,2119.0,2125.52,8920.766
1770559200000,2125.52,2128.5,2123.11,2123.78,12284.451
1770559500000,2123.78,2125.2,2119.66,2119.94,5366.533
1770559800000,2119.95,2122.59,2117.55,2119.37,8372.12
1770560100000,2119.37,2123.64,2116.03,2117.65,9621.053
1770560400000,2117.64,2119.17,2115.15,2117.59,13230.408
1770560700000,2117.59,2121.95,2116.44,2119.55,9966.969
1770561000000,2119.54,2124.65,2119.36,2123.52,7447.052
1770561300000,2123.51,2124.64,2121.57,2124.57,5478.643
1770561600000,2124.57,2124.57,2116.75,2121.25,7741.574
1770561900000,2121.25,2123.22,2119.69,2121.09,5528.433
1770562200000,2121.09,2125.31,2120.66,2123.3,5325.609
1770562500000,2123.3,2127.99,2120.4,2127.79,5251.406
1770562800000,2127.78,2130.0,2124.03,2125.47,16054.732
1770563100000,2125.47,2129.34,2125.05,2126.91,5408.339
1770563400000,2126.91,2129.55,2125.0,2128.83,5930.178
1770563700000,2128.82,2128.82,2116.55,2121.59,18490.048
1770564000000,2121.6,2124.69,2116.1,2117.69,11618.956
